State,Abbr,Year Admitted,1790_TotalPopulation,1800_TotalPopulation,1810_TotalPopulation,1820_TotalPopulation,1830_TotalPopulation,1840_TotalPopulation,1850_TotalPopulation,1860_TotalPopulation,1790_EnslavedPopulation,1800_EnslavedPopulation,1810_EnslavedPopulation,1820_EnslavedPopulation,1830_EnslavedPopulation,1840_EnslavedPopulation,1850_EnslavedPopulation,1860_EnslavedPopulation,1870_TotalPopulation,1880_TotalPopulation,1890_TotalPopulation,1900_TotalPopulation,1910_TotalPopulation,1920_TotalPopulation,1930_TotalPopulation,1940_TotalPopulation,1950_TotalPopulation,1960_TotalPopulation,1970_TotalPopulation,1980_TotalPopulation,1990_TotalPopulation,2000_TotalPopulation,2010_TotalPopulation,2018_TotalPopulation,2020_TotalPopulation,density
New Hampshire,NH,1788,"141,885","183,858","214,360","244,161","269,328","284,574","317,976","326,073",158,8,0,0,3,1,0,0,"318,300","346,991","376,530","411,588","430,572","443,083","465,293","491,524","533,242","606,921","737,681","920,610","1,109,252","1,235,786","1,316,470","1,372,200.00",1377529,153.2671
New Jersey,NJ,1787,"184,139","211,149","245,555","277,575","320,823","373,306","489,555","672,035","11,423","12,422","10,851","7,557","2,254",674,236,18,"906,096","1,131,116","1,444,933","1,883,669","2,537,167","3,155,900","4,041,334","4,160,165","4,835,329","6,066,782","7,168,164","7,364,823","7,730,188","8,414,350","8,791,894","8,874,520.00",9288994,1206.7609
New Mexico,NM,1912,,,,,,,"61,547","93,516",,,,,,,0,0,"91,874","119,565","160,282","195,310","327,301","360,350","423,317","531,818","681,187","951,023","1,016,000","1,302,894","1,515,069","1,819,046","2,059,179","2,105,000.00",2117522,17.354
New York,NY,1788,"340,120","586,050","959,049","1,372,812","1,918,608","2,428,921","3,097,394","3,880,735","21,324","20,613","15,017","10,088",75,4,0,0,"4,382,759","5,082,871","6,003,174","7,268,894","9,113,614","10,385,227","12,588,066","13,479,142","14,830,192","16,782,304","18,236,967","17,558,072","17,990,455","18,976,457","19,378,102","19,300,000.00",20201249,409.5404
North Carolina,NC,1789,"393,751","478,103","556,526","638,829","737,987","753,419","869,039","992,622","100,572","133,296","168,824","204,917","245,601","245,817","288,548","331,059","1,071,361","1,399,750","1,617,947","1,893,810","2,206,287","2,559,123","3,170,276","3,571,623","4,061,929","4,556,155","5,082,059","5,881,766","6,628,637","8,049,313","9,535,483","10,701,000.00",10439388,220.1037
North Dakota,ND,1889,,,,,,,,,,,,,,,,,"2,405","36,909","190,983","319,146","577,056","646,872","680,845","641,935","619,636","632,446","617,761","652,717","638,800","642,200","672,591","770,026.00",779094,11.1596
Ohio,OH,1803,,"42,159","230,760","581,434","937,903","1,519,467","1,980,329","2,339,511",,0,0,0,6,3,0,0,"2,665,260","3,198,062","3,672,316","4,157,545","4,767,121","5,759,394","6,646,697","6,907,612","7,946,627","9,706,397","10,652,017","10,797,630","10,847,115","11,353,140","11,536,504","11,714,600.00",11799448,286.6939
Oklahoma,OK,1907,,,,,,,,,,,,,,,,,,,"258,657[n]","790,391[o]","1,657,155","2,028,283","2,396,040","2,336,434","2,233,351","2,328,284","2,559,229","3,025,290","3,145,585","3,450,654","3,751,351","3,990,440.00",3959353,58.1739
Oregon,OR,1859,,,,,,,"12,093","52,465",,,,,,,0,0,"90,923","174,768","317,704","413,536","672,765","783,389","953,786","1,089,684","1,521,341","1,768,687","2,091,385","2,633,105","2,842,321","3,421,399","3,831,074","4,289,440.00",4237256,44.6873
Pennsylvania,PA,1787,"434,373","602,545","810,091","1,049,458","1,348,233","1,724,033","2,311,786","2,906,215","3,737","1,706",795,211,403,64,0,0,"3,521,951","4,282,891","5,258,014","6,302,115","7,665,111","8,720,017","9,631,350","9,900,180","10,498,012","11,319,366","11,793,909","11,863,895","11,881,643","12,281,054","12,702,379","12,804,100.00",13002700,286.1699
Puerto Rico,PR,1899,,,,,,,,,,,,,,,,,,,,,"1,118,012","1,299,809","1,543,913","1,869,255","2,210,703","2,349,544","2,712,033","3,196,520","3,522,037","3,808,610","3,725,789","3,194,370.00",3285874,923.4952
Rhode Island,RI,1790,"68,825","69,122","76,931","83,059","97,199","108,830","147,545","174,620",948,380,108,48,17,5,0,0,"217,353","276,531","345,506","428,556","542,610","604,397","687,497","713,346","791,896","859,488","946,725","947,154","1,003,464","1,048,319","1,052,567","1,061,510.00",1097379,1026.6054
South Carolina,SC,1788,"249,073","345,591","415,115","502,741","581,185","594,398","668,507","703,708","107,094","146,151","196,365","258,475","315,401","327,038","384,984","402,406","705,606","995,577","1,151,149","1,340,316","1,515,400","1,683,724","1,738,765","1,899,804","2,117,027","2,382,594","2,590,516","3,121,820","3,486,703","4,012,012","4,625,364","5,277,830.00",5118425,175.5707
South Dakota,SD,1889,,,,,,,,"4,837",,,,,,,,,"11,776","98,268","348,600","401,570","583,888","636,547","692,849","642,961","652,740","680,514","665,507","690,768","696,004","754,844","814,180","896,581.00",886667,11.8265
Tennessee,TN,1796,"35,691","105,602","261,727","422,813","681,904","829,210","1,002,717","1,109,801","3,417","13,584","44,535","80,107","141,603","183,059","239,459","275,719","1,258,520","1,542,359","1,767,518","2,020,616","2,184,789","2,337,885","2,616,556","2,915,841","3,291,718","3,567,089","3,923,687","4,591,120","4,877,185","5,689,283","6,346,105","6,944,260.00",6910840,168.4069
Texas,TX,1845,,,,,,,"212,592","604,215",,,,,,,"58,161","182,566","818,579","1,591,749","2,235,523","3,048,710","3,896,542","4,663,228","5,824,715","6,414,824","7,711,194","9,579,677","11,196,730","14,229,191","16,986,510","20,851,820","25,145,561","29,730,300.00",29145505,113.808
Utah,UT,1896,,,,,,,"11,380","40,273",,,,,,,26,29,"86,336","143,963","210,779","276,749","373,351","449,396","507,847","550,310","688,862","890,627","1,059,273","1,461,037","1,722,850","2,233,169","2,763,885","3,310,770.00",3271616,40.2917
Vermont,VT,1791,"85,425","154,465","217,713","235,764","280,652","291,948","314,120","315,098",0,0,0,0,0,0,0,0,"330,551","332,286","332,422","343,641","355,956","352,428","359,611","359,231","377,747","389,881","444,330","511,456","562,758","608,827","625,741","623,251.00",643077,67.6197
Virginia,VA,1788,"691,937","807,557","877,683","938,261","1,044,054","1,025,227","1,119,348","1,219,630","287,959","339,499","383,521","411,886","453,698","431,873","452,028","472,494","1,225,163","1,512,565","1,655,980","1,854,184","2,061,612","2,309,187","2,421,851","2,677,773","3,318,680","3,966,949","4,648,494","5,346,818","6,187,358","7,078,515","8,001,024","8,603,980.00",8631393,217.8774
Washington,WA,1889,,,,,,,"1,201","11,594",,,,,,0,0,0,"23,955","75,116","357,232","518,103","1,141,990","1,356,621","1,563,396","1,736,191","2,378,963","2,853,214","3,409,169","4,132,156","4,866,692","5,894,121","6,724,540","7,796,940.00",7705281,117.3248
West Virginia,WV,1863,"55,873","78,592","105,469","136,808","176,924","224,537","302,313","376,688","4,668","7,172","10,836","15,169","17,673","18,488","20,500","18,371","442,014","618,457","762,794","958,800","1,221,119","1,463,701","1,729,205","1,901,974","2,005,552","1,860,421","1,744,237","1,949,644","1,793,477","1,808,344","1,852,994","1,767,860.00",1793716,73.5444
Wisconsin,WI,1848,,,,"1,444","3,635","30,945","305,391","775,881",,,,0,31,11,0,0,"1,054,670","1,315,497","1,693,330","2,069,042","2,333,860","2,632,067","2,939,006","3,137,587","3,434,575","3,951,777","4,417,731","4,705,767","4,891,769","5,363,675","5,686,986","5,852,490.00",5893718,108.0633
Wyoming,WY,1890,,,,,,,,,,,,,,,,,"9,118","20,789","60,705","92,531","145,965","194,402","225,565","250,742","290,529","330,066","332,416","469,557","453,588","493,782","563,626","581,075.00",576851,5.9847
 American Samoa,AS,1900,,,,,,,,,,,,,,,,,,,,,,,,"12,908","24,889","20,051","27,159","32,297","46,773","57,291","55,519",,,
 Guam,GU,1899,,,,,,,,,,,,,,,,,,,,,"11,806","13,275","18,509","22,290","59,498","67,044","84,966","105,979","133,152","154,805","159,358",,,
 Northern Mariana Islands,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,460","16,780","43,345","69,221","53,883",,,
Pacific Trust Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,270","104,033",,,,,,
 Palau,PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,210","12,116","15,122",,,,,
 Panama Canal Zone,,,,,,,,,,,,,,,,,,,,,,,,"22,858","39,467","51,827","52,822","42,112","44,198",,,,,,,
 U.S. Virgin Islands,VI,1917,,,,,,,,,,,,,,,,,,,,,,,"22,012","39,467","51,827","32,099","62,468","96,569","101,809","108,612","106,405",,,
